Kode SKPD,Nama SKPD,Anggaran,Realisasi,Prosentase,Tanggal Impor Data
8.01.0.00.0.00.01.0000,BADAN KESATUAN BANGSA DAN POLITIK,401533935500,20022026,0.0,25/02/2026
1.03.1.04.2.10.03.0000,"DINAS PERUMAHAN RAKYAT, KAWASAN PERMUKIMAN DAN CIPTA KARYA",162731364500,20022026,0.01,25/02/2026
1.02.0.00.0.00.01.0000,DINAS KESEHATAN,5565186181365,20022026,0.0,25/02/2026
2.17.0.00.0.00.01.0000,"DINAS KOPERASI, USAHA KECIL DAN MENENGAH",99860768000,20022026,0.02,25/02/2026
3.27.0.00.0.00.06.0000,DINAS PERKEBUNAN,82911637000,20022026,0.02,25/02/2026
5.04.0.00.0.00.01.0000,BADAN PENGEMBANGAN SUMBER DAYA MANUSIA,112036469643,20022026,0.02,25/02/2026
1.03.0.00.0.00.10.0000,DINAS PEKERJAAN UMUM BINA MARGA,571371070204,20022026,0.0,25/02/2026
3.25.0.00.0.00.01.0000,DINAS KELAUTAN DAN PERIKANAN,233041777000,20022026,0.01,25/02/2026
1.03.0.00.0.00.11.0000,DINAS PEKERJAAN UMUM SUMBERDAYA AIR,360810553900,20022026,0.01,25/02/2026
6.01.0.00.0.00.01.0000,INSPEKTORAT,73760501000,20022026,0.03,25/02/2026
2.09.3.27.0.00.02.0000,DINAS PERTANIAN DAN KETAHANAN PANGAN,252524596000,20022026,0.01,25/02/2026
3.27.0.00.0.00.08.0000,DINAS PETERNAKAN,123037005000,20022026,0.02,25/02/2026
5.03.0.00.0.00.01.0000,BADAN KEPEGAWAIAN DAERAH,52037708078,20022026,0.04,25/02/2026
3.29.0.00.0.00.01.0000,DINAS ENERGI DAN SUMBERDAYA MINERAL,46685230000,20022026,0.04,25/02/2026
2.18.0.00.0.00.01.0000,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,40389598000,20022026,0.05,25/02/2026
2.08.2.14.2.12.05.0000,"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK, DAN KEPENDUDUKAN",33154215384,20022026,0.06,25/02/2026
2.22.3.26.0.00.03.0000,DINAS KEBUDAYAAN DAN PARIWISATA,130605376580,20022026,0.02,25/02/2026
5.01.0.00.0.00.01.0000,BADAN PERENCANAAN PEMBANGUNAN DAERAH,90983245000,20022026,0.02,25/02/2026
2.11.0.00.0.00.01.0000,DINAS LINGKUNGAN HIDUP,52436633200,20022026,0.04,25/02/2026
2.13.0.00.0.00.01.0000,DINAS PEMBERDAYAAN MASYARAKAT DAN DESA,40043409000,20022026,0.05,25/02/2026
5.07.0.00.0.00.05.0000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR IV PAMEKASAN,14483144000,20022026,0.14,25/02/2026
5.07.0.00.0.00.04.0000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR III MALANG,15898397000,20022026,0.13,25/02/2026
1.05.0.00.0.00.01.0000,SATUAN POLISI PAMONG PRAJA,50475745000,20022026,0.04,25/02/2026
5.07.0.00.0.00.02.0000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR I MADIUN,18715026000,20022026,0.11,25/02/2026
3.31.3.30.0.00.02.0000,DINAS PERINDUSTRIAN DAN PERDAGANGAN,124570042000,20022026,0.02,25/02/2026
5.05.0.00.0.00.01.0000,BADAN RISET DAN INOVASI DAERAH,31636856000,20022026,0.06,25/02/2026
5.07.0.00.0.00.03.0000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR II BOJONEGORO,15588194000,20022026,0.13,25/02/2026
2.23.2.24.0.00.02.0000,DINAS PERPUSTAKAAN DAN KEARSIPAN,54455773715,20022026,0.04,25/02/2026
3.28.0.00.0.00.01.0000,DINAS KEHUTANAN,201589951732,20022026,0.01,25/02/2026
2.07.3.32.0.00.02.0000,DINAS TENAGA KERJA DAN TRANSMIGRASI,252928310000,20022026,0.01,25/02/2026
5.07.0.00.0.00.06.0000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR V JEMBER,13993807000,20022026,0.14,25/02/2026
4.02.0.00.0.00.01.0000,SEKRETARIAT DPRD,715363126000,20022026,0.0,25/02/2026
1.01.0.00.0.00.01.0000,DINAS PENDIDIKAN,8615229504330,20022026,0.0,25/02/2026
2.16.2.20.2.21.04.0000,DINAS KOMUNIKASI DAN INFORMATIKA,62055314000,20022026,0.03,25/02/2026
5.07.0.00.0.00.01.0000,BADAN PENGHUBUNG DAERAH PROVINSI,23105359000,20022026,0.09,25/02/2026
5.02.0.00.0.00.03.0000,BADAN PENDAPATAN DAERAH,554831786980,20022026,0.0,25/02/2026
2.15.0.00.0.00.01.0000,DINAS PERHUBUNGAN,543176929000,20022026,0.0,25/02/2026
4.01.0.00.0.00.01.0000,SEKRETARIAT DAERAH,1425508583583,20022026,0.0,25/02/2026
2.19.0.00.0.00.01.0000,DINAS KEPEMUDAAN DAN OLAHRAGA,104021782000,20022026,0.02,25/02/2026
1.06.0.00.0.00.01.0000,DINAS SOSIAL,472890203732,20022026,0.0,25/02/2026
1.05.0.00.0.00.04.0000,BADAN PENANGGULANGAN BENCANA DAERAH,82816493000,20022026,0.02,25/02/2026
