NO,Kode SKPD,Nama SKPD,Anggaran,Realisasi,Prosentase,Tanggal Impor Data
1.0, 101000000010000,DINAS PENDIDIKAN,8615229504330,407935786772,4.74,20/02/2026
2.0, 102000000010000,DINAS KESEHATAN,5565186181365,93601378455,1.68,20/02/2026
3.0, 103000000100000,DINAS PEKERJAAN UMUM BINA MARGA,571371070204,13588404685,2.38,20/02/2026
4.0, 103000000110000,DINAS PEKERJAAN UMUM SUMBERDAYA AIR,360810553900,10282090140,2.85,20/02/2026
5.0, 103104210030000,"DINAS PERUMAHAN RAKYAT, KAWASAN PERMUKIMAN DAN CIPTA KARYA",162731364500,2531403751,1.56,20/02/2026
6.0, 105000000010000,SATUAN POLISI PAMONG PRAJA,50475745000,1943329068,3.85,20/02/2026
7.0, 105000000040000,BADAN PENANGGULANGAN BENCANA DAERAH,82816493000,11622863787,14.03,20/02/2026
8.0, 106000000010000,DINAS SOSIAL,472890203732,52236094670,11.05,20/02/2026
9.0, 207332000020000,DINAS TENAGA KERJA DAN TRANSMIGRASI,252928310000,11059658542,4.37,20/02/2026
10.0, 208214212050000,"DINAS PEMBERDAYAAN PEREMPUAN, PERLINDUNGAN ANAK, DAN KEPENDUDUKAN",33154215384,1063624891,3.21,20/02/2026
11.0, 209327000020000,DINAS PERTANIAN DAN KETAHANAN PANGAN,252524596000,7566855990,3.0,20/02/2026
12.0, 211000000010000,DINAS LINGKUNGAN HIDUP,52436633200,1785171058,3.4,20/02/2026
13.0, 213000000010000,DINAS PEMBERDAYAAN MASYARAKAT DAN DESA,40043409000,1382226292,3.45,20/02/2026
14.0, 215000000010000,DINAS PERHUBUNGAN,543176929000,30699433903,5.65,20/02/2026
15.0, 216220221040000,DINAS KOMUNIKASI DAN INFORMATIKA,62055314000,3188479719,5.14,20/02/2026
16.0, 217000000010000,"DINAS KOPERASI, USAHA KECIL DAN MENENGAH",99860768000,1766191837,1.77,20/02/2026
17.0, 218000000010000,DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU,40389598000,1268264249,3.14,20/02/2026
18.0, 219000000010000,DINAS KEPEMUDAAN DAN OLAHRAGA,104021782000,9830759957,9.45,20/02/2026
19.0, 222326000030000,DINAS KEBUDAYAAN DAN PARIWISATA,130605376580,4318484744,3.31,20/02/2026
20.0, 223224000020000,DINAS PERPUSTAKAAN DAN KEARSIPAN,54455773715,2355478323,4.33,20/02/2026
21.0, 325000000010000,DINAS KELAUTAN DAN PERIKANAN,233041777000,6296390502,2.7,20/02/2026
22.0, 327000000060000,DINAS PERKEBUNAN,82911637000,1481810198,1.79,20/02/2026
23.0, 327000000080000,DINAS PETERNAKAN,123037005000,3717623050,3.02,20/02/2026
24.0, 328000000010000,DINAS KEHUTANAN,201589951732,8742219859,4.34,20/02/2026
25.0, 329000000010000,DINAS ENERGI DAN SUMBERDAYA MINERAL,46685230000,1444312198,3.09,20/02/2026
26.0, 331330000020000,DINAS PERINDUSTRIAN DAN PERDAGANGAN,124570042000,4835934843,3.88,20/02/2026
27.0, 401000000010000,SEKRETARIAT DAERAH,1425508583583,112535470799,7.89,20/02/2026
28.0, 402000000010000,SEKRETARIAT DPRD,715363126000,32997211342,4.61,20/02/2026
29.0, 501000000010000,BADAN PERENCANAAN PEMBANGUNAN DAERAH,90983245000,3068988748,3.37,20/02/2026
30.0, 502000000020000,BADAN PENGELOLA KEUANGAN DAN ASET DAERAH,5309232823000,9283919200,0.17,20/02/2026
31.0, 502000000030000,BADAN PENDAPATAN DAERAH,554831786980,31311697599,5.64,20/02/2026
32.0, 503000000010000,BADAN KEPEGAWAIAN DAERAH,52037708078,1591237208,3.06,20/02/2026
33.0, 504000000010000,BADAN PENGEMBANGAN SUMBER DAYA MANUSIA,112036469643,2596694576,2.32,20/02/2026
34.0, 505000000010000,BADAN RISET DAN INOVASI DAERAH,31636856000,1323849986,4.18,20/02/2026
35.0, 507000000010000,BADAN PENGHUBUNG DAERAH PROVINSI,23105359000,1241027710,5.37,20/02/2026
36.0, 507000000020000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR I MADIUN,18715026000,725147635,3.87,20/02/2026
37.0, 507000000030000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR II BOJONEGORO,15588194000,669887785,4.3,20/02/2026
38.0, 507000000040000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR III MALANG,15898397000,601210224,3.78,20/02/2026
39.0, 507000000050000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR IV PAMEKASAN,14483144000,529614689,3.66,20/02/2026
40.0, 507000000060000,BADAN KOORDINASI WILAYAH PEMERINTAHAN DAN PEMBANGUNAN PROVINSI JAWA TIMUR V JEMBER,13993807000,628443201,4.49,20/02/2026
41.0, 601000000010000,INSPEKTORAT,73760501000,2194013688,2.97,20/02/2026
42.0, 801000000010000,BADAN KESATUAN BANGSA DAN POLITIK,401533935500,972901897,0.24,20/02/2026
